691392.700,6468338.640,Ground,Ground,32.19,0.088  m,2,53760,-6.0,1,1,238572864.9284592,34304,32768,26112,43776,0.12,-0.14,19291,1,0,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691393.460,6468339.150,Unclassified,Unclassified,32.24,0.189  m,1,30845,-5.0,1,1,238572864.9284620,33792,29440,24832,41216,0.10,-0.17,19291,1,1,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691394.110,6468339.580,Ground,Ground,32.05,0.13  m,2,48517,-5.0,1,1,238572864.9284648,31488,27392,20736,40960,0.13,-0.20,19291,1,0,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691390.590,6468338.710,High Vegetation,High Vegetation,49.17,17.055  m,5,34405,-6.0,3,2,238572864.9416329,40960,38400,29440,45056,0.05,-0.08,19291,1,170,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691391.180,6468339.080,High Vegetation,High Vegetation,56.17,24.071  m,5,31063,-6.0,3,1,238572864.9416329,34048,31232,23040,40960,0.09,-0.13,19291,1,240,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691391.200,6468339.120,Unclassified,Unclassified,48.43,16.331  m,1,35410,-6.0,2,1,238572864.9416356,31488,29696,22272,39680,0.12,-0.14,19291,1,162,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691390.510,6468338.680,Ground,Ground,32.12,0.0030000000  m,2,31194,-6.0,2,2,238572864.9416384,40960,38400,29440,45056,0.05,-0.08,19291,1,0,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691391.240,6468339.170,Ground,Ground,32.19,0.091  m,2,31150,-6.0,4,4,238572864.9416412,31488,29696,22272,39680,0.12,-0.14,19291,1,0,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691391.920,6468339.620,Ground,Ground,32.18,0.085  m,2,28988,-6.0,5,5,238572864.9416440,26112,23040,19456,34304,0.14,-0.20,19291,1,0,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691390.600,6468339.970,High Vegetation,High Vegetation,58.56,26.46  m,5,34493,-6.0,2,2,238572864.9548177,37888,34304,26880,45312,0.09,-0.14,19291,1,255,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691400.230,6468326.450,Ground,Ground,31.62,0.195  m,2,52580,-5.0,1,1,238572863.2514001,12288,12288,12800,17408,0.17,-0.17,19291,0,0,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691401.520,6468327.400,Ground,Ground,31.45,0.025  m,2,54568,-5.0,1,1,238572863.2645797,32768,29696,23040,43776,0.14,-0.19,19291,0,0,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691400.680,6468327.330,Ground,Ground,31.48,0.05  m,2,55158,-5.0,1,1,238572863.2645824,13056,12032,12288,18944,0.18,-0.22,19291,0,0,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
691402.500,6468328.330,Ground,Ground,31.42,0.037  m,2,53301,-5.0,1,1,238572863.2777618,27392,27136,22016,39680,0.18,-0.19,19291,0,0,,774697.999999999883585,12.000000000000000,JS059,91501:008:0103,if(91501:008:0103="KATASTRI_N" and JS059="KVARTALI_N" and 12="ERALDISE_N"	774698,лиственница,0,0,0,0,100,0,0,0,0
