X,Y,DESCRIPTION,LAYER,ELEVATION,HEIGHT_ABO,CLASS,INTENSITY,SCAN_ANGLE,RETURN_CNT,RETURN_NUM,GPS_TIME,RED,GREEN,BLUE,NIR,NDVI,NDWI,SOURCE_ID,SCANNER_CH,USER_DATA,KEY_POINT,ID,ERALDISE_N,KVARTALI_N,KATASTRI_N,key6,TO+ID_tree,TO+ID_1 bi,TO+ID_1 sp,TO+ID_1 pi,TO+ID_1 al,TO+ID_1 la,TO+ID_1 co,TO+ID_1 as,TO+ID_1 wi,TO+ID_1 gr,
"691039.000,6468446.420,Unclassified,Unclassified,31.44,0.109  m,1,40697,-12.0,2,2,238572865.2039010,17152,19200,13056,36096,0.36,-0.31,19291,0,1,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
"691036.370,6468446.170,Ground,Ground,31.44,0.096  m,2,46136,-12.0,2,2,238572865.2039094,32512,34560,24064,49152,0.20,-0.17,19291,0,0,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
"691035.550,6468446.100,Unclassified,Unclassified,31.75,0.348  m,1,52165,-12.0,1,1,238572865.2039122,28160,29696,20992,46592,0.25,-0.22,19291,0,2,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
"691034.640,6468446.020,Ground,Ground,31.56,0.139  m,2,53454,-12.0,1,1,238572865.2039150,24064,26624,17920,44544,0.30,-0.25,19291,0,0,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
"691033.780,6468445.940,Ground,Ground,31.61,0.165  m,2,53673,-12.0,1,1,238572865.2039178,1024,2304,768,16896,0.89,-0.76,19291,0,0,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
"691032.890,6468445.850,Ground,Ground,31.48,0  m,2,53891,-12.0,1,1,238572865.2039205,4352,4864,4608,16896,0.59,-0.55,19291,0,0,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
"691032.080,6468445.770,Ground,Ground,31.54,0.06  m,2,53847,-12.0,1,1,238572865.2039233,15616,16640,13056,34816,0.38,-0.35,19291,0,0,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
"691031.150,6468445.690,Ground,Ground,31.56,0.0060000001  m,2,53498,-12.0,1,1,238572865.2039261,23808,23808,17152,45312,0.31,-0.31,19291,0,0,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
"691030.330,6468445.610,Unclassified,Unclassified,31.63,0.07  m,1,54000,-12.0,1,1,238572865.2039289,16640,16640,14080,29696,0.28,-0.28,19291,0,0,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
"691030.300,6468445.550,High Vegetation,High Vegetation,58.48,26.92  m,5,30495,-12.0,3,1,238572865.2039484,13312,13312,10752,27392,0.35,-0.35,19291,0,255,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
"691039.310,6468447.440,Unclassified,Unclassified,31.54,0.191  m,1,53607,-12.0,1,1,238572865.2170831,5632,7168,4608,22528,0.60,-0.52,19291,0,1,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
"691038.390,6468447.350,Unclassified,Unclassified,31.53,0.19  m,1,45153,-12.0,3,3,238572865.2170859,28416,32256,21248,49408,0.27,-0.21,19291,0,1,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
"691037.580,6468447.280,Unclassified,Unclassified,31.59,0.25  m,1,48932,-12.0,3,3,238572865.2170886,24832,27904,18688,45056,0.29,-0.24,19291,0,1,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
"691036.700,6468447.190,Unclassified,Unclassified,31.50,0.16  m,1,50352,-12.0,2,2,238572865.2170914,28928,31488,22784,47872,0.25,-0.21,19291,0,0,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
"691035.800,6468447.110,Ground,Ground,31.45,0.044  m,2,54852,-12.0,1,1,238572865.2170942,30464,32512,22016,49920,0.24,-0.21,19291,0,0,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
"691034.990,6468447.040,Unclassified,Unclassified,31.58,0.13  m,1,52908,-12.0,1,1,238572865.2170970,29440,32768,21760,50944,0.27,-0.22,19291,0,1,,1782698.000000000000000,5.000000000000000,JS058,91501:008:0103,if(91501:008:0103=""KATASTRI_N"" and JS058=""KVARTALI_N"" and 5=""ERALDISE_N""",1782698,сосна,5,0,95,0,0,0,0,0,0
